Total Project Tracking,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
#,Screen/Function,Feature,Actor,Screen/Function Description,In Charge,Status,Actual,Updated,Update Details
,Create an account,Authentication,Guest,"New users can register an account by providing their name, email, and password to access the platform.", Hồng Nguyên,Done,iter1,,
,OTP screen,Authentication,Guest,Users enter a one-time code sent to their email to verify their identity during registration or password recovery., Hồng Nguyên,Done,iter1,,
,Login/Logout,Authentication,"Customer, Staff, Staff Manager",Users can log in using registered credentials and log out to end their session.,Hoàng Minh,Done,iter1,,
,Login with Google,Authentication,"Customer, Staff, Staff Manager",Users can log in quickly using their existing Google account.,Quang Minh ,Done,iter1,,
,Forgot password,Authentication,"Customer, Staff, Staff Manager",Users can request a password reset by entering their registered email to receive a reset link or OTP., Phong Quyền,Done,iter1,,
,Change password,Account,"Customer, Staff, Staff Manager",Users can change their account password by verifying the current one and setting a new one.,Công Minh   ,Done,iter1,,
,View and Update Profile,Account,"Customer, Staff, Staff Manager","Users can view and update personal information, contact details, address, and profile photo (avatar).",Quang Minh ,Done,iter1,,
,View Homepage,General,"Guest, Customer",Guests and customers can view the homepage to get an overview of the website services and features.,Hoàng Minh,Updated,iter1,iter3,
,View all motorcycles,General,"Guest, Customer","Guests and customers can view a list of all available motorcycles, including photos, rental prices, and basic information.",Lê Quang Minh,Updated,iter1,iter2,
,View a motorcycle in detail,General,"Guest, Customer","Guests and customers can view detailed information about a specific motorcycle, including images, specs, price, and included accessories.",Lê Quang Minh,Updated,iter1,iter2,
,View tourism location,Tourism Management,"Guest, Customer","Guests and customers can browse suggested tourism destinations with photos, descriptions, and reference links.",Hồng Nguyên,Done,iter1,,
,View FAQs,FAQ Management,"Guest, Customer",Guests and customers can read frequently asked questions and their answers to better understand the service.,Phong Quyền,Done,iter1,,
,View price list,Pricing Management,"Guest, Customer",Guests and customers can view the current rental price list for all motorcycle types and rental durations.,Công Minh,Updated,iter1,iter2,
,View policies,Policy Management,"Guest, Customer",Guests and customers can read the platform rental terms and conditions before making a reservation.,Hồng Nguyên,Done,iter1,,
,Give contact,Contact Management,"Guest, Customer",Users can submit a contact form to send questions or requests to the support team.,Hoàng Minh,Updated,iter1,iter2,
,View event/sales,Promotion Management,"Guest, Customer","Guests and customers can view current promotions, discount events, and upcoming campaigns.",Lê Quang Minh,Done,iter1,,
,Search motorcycles,Search & Recommendation,"Guest, Customer","Guests and customers can search and filter motorcycles by brand, category, travel purpose, displacement, or price range.",Phong Quyền,Updated,iter1,iter3,
,Get motorcycle suggestions by demand,Search & Recommendation,"Guest, Customer","Guests and customers can enter their travel needs such as touring, city riding, or fuel saving to receive suitable motorcycle suggestions from the system.",Công Minh,Done,iter1,,
,Contact by chatbot,Chatbot,"Guest, Customer",Guests and customers can chat with the system chatbot to get information and rental recommendations from the website.,Lê Quang Minh,Done,iter1,,
,View booking history,Account,Customer,Customers can view a list of all past and current rental bookings and open any booking to see its full details.,Hoàng Minh,Updated,iter2,iter3,
,Choose pick up/return date/location,Rental Booking,Customer,Customers can select their preferred pickup and return dates and locations for the motorcycle rental.,Lê Quang Minh,Updated,iter2,iter3,
,Choose motorcycles,Rental Booking,Customer,Customers can browse and select an available motorcycle for their chosen rental period.,Phong Quyền,Updated,iter2,iter3,
,Choose accessories,Rental Booking,Customer,Customers can add optional accessories such as helmets or rain gear to their rental order.,Công Minh,Updated,iter2,iter3,
,Confirm personal information,Rental Booking,Customer,Customers can review and confirm their personal details before proceeding with the booking.,Hồng Nguyên,Updated,iter2,iter3,
,Confirm booking,Rental Booking,Customer,"Customers can review the complete booking summary including motorcycle, accessories, dates, and total cost before finalizing.",Hoàng Minh,Updated,iter2,iter3,
,Make payment,Rental Booking,Customer,Customers can complete payment for their rental booking through available payment methods.,Lê Quang Minh,Updated,iter2,iter3,
,Apply voucher code,Rental Booking,Customer,Customers can enter a voucher or promo code at checkout to receive a discount on their rental.,Phong Quyền,Done,iter2,,
,Cancel booking,Rental Booking,Customer,Customers can submit a cancellation request for an active booking and track the processing status.,Công Minh,Done,iter2,,
,Extend booking,Rental Booking,Customer,Customers can request to extend their current rental period by selecting a new return date.,Hồng Nguyên,Done,iter2,,
,Give rating and feedback,Rental Booking,Customer,Customers can rate the motorcycle and overall service quality after completing a rental.,Hoàng Minh,Done,iter2,,
,Add to favorites,Favorite,Customer,Customers can save motorcycles they are interested in to a personal favorites list for easy access when planning a rental.,Hồng Nguyên,Done,iter2,,
,Get motorcycle suggestions by tourism location,Tourism Management,Customer,Customers can select a tourism destination to receive motorcycle recommendations suitable for that route or terrain.,Phong Quyền,Done,iter2,,
,View customer list,Customer Management,Staff,"Staff can view, search, and access detailed profiles of all registered customers.",Công Minh,Done,iter2,,
,Disable customer account,Customer Management,Staff,Staff can deactivate a customer account that has violated the platform rules.,Hồng Nguyên,Done,iter2,,
,View overdue rentals,Customer Management,Staff,Staff can view a list of customers who have not returned their motorcycle by the agreed return date.,Hoàng Minh,Done,iter2,,
,Provide customer consultation,Customer Management,Staff,"Staff can provide consultation to customers regarding motorcycle options, rental pricing, accessories, policies, and active promotions.",Lê Quang Minh,Done,iter2,,
,Confirm booking,Rental Management,Staff,Staff can review and approve pending booking requests submitted by customers.,Công Minh,Updated,iter2,iter3,
,Update booking status,Rental Management,Staff,Staff can update the booking status through each rental stage: confirmed → picked up → active → completed.,Hồng Nguyên,Updated,iter2,iter3,
,Cancel booking by staff,Rental Management,Staff,"Staff can cancel a booking on behalf of the customer, including providing a reason and processing any applicable refund.",Hoàng Minh,Done,iter2,,
,Handle extension request,Extension Management,Staff,Staff can view extension requests submitted by customers and approve or reject them after checking motorcycle availability.,Lê Quang Minh,Done,iter3,,
,Handle cancellation request,Cancellation Management,Staff,Staff can view cancellation requests submitted by customers and approve or reject them.,Phong Quyền,Done,iter3,,
,CRUD Motorcycle,Motorcycle Management,Staff,"Staff can add, update, delete motorcycles and manage their availability status (available, rented, under maintenance, decommissioned).",Công Minh,Done,iter3,,
,CRUD price list,Pricing Management,Staff,"Staff can add new pricing entries, update existing rental rates, and remove outdated price records.",Hồng Nguyên,Done,iter3,,
,CRUD FAQs,FAQ Management,Staff,"Staff can add new FAQ entries, update existing questions and answers, and remove FAQs that are no longer relevant.",Hoàng Minh,Done,iter3,,
,CRUD Tourism Location,Tourism Management,Staff,"Staff can add new tourism destinations with photos and descriptions, update existing ones, and remove outdated entries.",Hồng Nguyên,Done,iter3,,
,CRUD sales/events,Promotion Management,Staff,"Staff can create new promotions or events with voucher codes, update active campaigns, and remove expired ones.",Phong Quyền,Done,iter3,,
,CRUD accessories,Accessory Management,Staff,"Staff can add new accessories, update stock and pricing information, and remove accessories that are no longer available.",Công Minh,Done,iter3,,
,View customer feedback and contact requests,Feedback Management,Staff,"Staff can view ratings and reviews from customers after completed rentals, and read contact form submissions sent by customers.",Hồng Nguyên,Done,iter3,,
,Track rental motorcycle GPS location,Rental Management,Staff,Staff can view the real-time GPS location of motorcycles currently being rented on an interactive map.,Lê Quang Minh,Done,iter3,,
,View staff list,Staff Management,Staff Manager,"The manager can view, search, and access detailed profiles of all staff accounts along with their roles and permissions.",Hoàng Minh,Done,iter3,,
,Disable staff account,Staff Management,Staff Manager,The manager can deactivate a staff account to revoke system access when needed.,Phong Quyền,Done,iter3,,
,Manage staff roles and permissions,Staff Management,Staff Manager,The manager can assign or update roles and access permissions for staff members in the system.,Công Minh,Done,iter3,,
,View dashboard,Dashboard & Analytics,Staff Manager,"The manager can view a dashboard showing key metrics such as active rentals, revenue, motorcycle availability, and booking statistics.",Lê Quang Minh,Done,iter3,,
,View rental analytics report,Dashboard & Analytics,Staff Manager,"The manager can view reports on motorcycle rental performance, including most and least rented vehicles, demand trends, and discount recommendations.",Lê Quang Minh,Done,iter3,,
,,,,,Hoàng Minh,,,,
Effort Distribution,,,,,,,,,
No,Full name,Student ID,Effort (%),,,,,,
1,Lê Quang Minh,DE190071,0,,,,,,
2,Lê Quang Minh,DE190071,0,,,,,,
3,Lê Quang Minh,DE190071,0,,,,,,
4,Lê Quang Minh,DE190071,0,,,,,,
5,Lê Quang Minh,DE190071,0,,,,,,
